questions,types
What percentage of the votes in Tippah did Obama get?,0
What percentage of the votes in Copiah did McCain get?,0
When fixed route is the type of fare how much is the 31-day pass?,0
When mega pass* (senior/disabled) is the type of fare what is the cash fare?,0
When mega pass* (senior/disabled) is the type of fare what is the day pass?,0
When  fort irwin-barstow/victorville is the type of fare what is the cash fare?,0
What is every residential monthly usage if large power demand is 6.86?,0
What is every value for large power demand when small power demand is 13.41?,0
What is every city with a residential monthly usage of 11.80?,0
What are the LOA (metres) of boat with sail number M10?,0
What is the race number with time 1:23:19:31?,0
What race number had sail number AUS 98888?,0
When did they play against West Virginia?,0
"When l (ot/so) is 22 (3/4), what is the season?",0
"In season is 2008–09, how many wins did they have?",0
How many rounds did Virginia have?,3
How many rounds were there a height of 6'5?,3
What college has a player that is 6'1?,0
What college did Terrance Taylor play for?,0
What's Curtis Painter's position?,0
How much does the player from Southern California weight?,0
What's Curtis Painter's position?,0
What's the engine for the model model designation 97G00 and GVW of 2500/2.46 kg/ton?,0
What model type has model designation 97500?,0
What's the axle ratio of the model with model designation 97G00?,0
What model type has 97100 model designation?,0
What type of engine does the model with model designation 97100 have?,0
What's the wheelbase (in mm/inch) of the model with model designation 97G00?,0
What type of engine does the model with model designation 97F00 have?,0
What's the model designation of the model with GVW of 2828/2.78 kg/ton and axle ratio of 9/47?,0
Who is the player name when eastern michigan is the college?,0
What is the height if ot is the position?,0
Who is the player for south carolina college?,0
Which college has fb as the position?,0
What is the GVW for model 97H00?,0
What is the Wheelbase for Model 97300?,0
Name the Engine for model CF350.,0
Was the result of the supercheap auto bathurst 1000 reported?,0
Who was the winner of the race at barbagallo raceway?,0
state the status of pick # 32,0
which college had a running back player,0
what is the position of the player of height ft0in (m),0
what's the position of pick # 79,0
What was the QB rating for Neil lomax?,0
How many touchdowns were there with QB rating of 66.6?,0
Name the game for record being 3-0,0
What was the date of game 6?,0
What was the record for the game where the cardinals scored 7 points?,0
What game date had the record of 1-2?,0
What was the record after the game in which the Hurricanes scored 24 points?,0
How much parking is in Van Nuys at the Sepulveda station? ,0
What are the stations in Tarzana? ,0
Which station has park & ride lot parking? ,0
Which player has a 92.58 3-dart average?,0
What is the 3-dart average with a high checkout of 112?,0
How many legs won have 95.29 as a 3-dart average?,0
Which team did the player have who had 27 total carries?,0
What was the player's team's opponent for Week 12?,0
"Who directed the episode that originally aired on March 18, 1988?",0
"What was the name of the episode that aired originally on March 11, 1988?",0
What is the production code of the episode written by Jack Carrerrow?,0
"Name the title that aired for november 08, 1985",0
"Name the production code for november 08, 1985",0
Name the written by for production code 4g07,0
What was the final score when tracy austin was runner up?,0
"When ""jobless"" is the title who are the writers?",0
When it is season 10 who are the writers?,0
"when womens singles is wang yihan and tour is french super series, what were the men's singles?",0
"when mixed doubles is zheng bo ma jin and womens singles is wang yihan, what was the tour?",0
"Who is the director of the ""Adam's Family""?",0
"What was the us airdate for ""Bear Breasts""?",0
"What was the USA airdate for ""Jenny From the Block""?",0
How many millions viewers watched the episode that ran 23:25?,0
What is the broadcast date of the episode on 16mm t/r that ran 23:25?,0
Which episode was watched by 7.2 million viewers?,0
What episode had a run time of 24:18?,0
"For the 1999 w210 e-class , 2000 w203 c-class, what is the stroke?",0
What is the displacement for torque of  n·m (lb·ft) @1500 rpm?,0
"If torque is n·m (lb·ft) @1600–2400 rpm and applications is 2000 w90x sprinter, what is the power?",0
List the torque possible when the stroke is 88.4mm?,0
Name the opponent for 7-1-0,0
Name the episode for run time 25:05,0
Name the broadcast date for run timke of 25:04,0
Name the archive for run time of 23:55,0
Name the broadcast date for 7.4 viewers,0
Name the broadcast date for 6.0 viewers,0
"When did ""Going Bodmin"" originally air?",0
"How many episodes were titled ""Going Bodmin""?",0
What episode had 9.7 million viewers?,0
What date was an episode broadcasted on that had a run time of 24:40?,0
What episode had a run time of 24:53?,0
What was the archive for the episode with a run time of 25:24?,0
What is he archive for the episode with a run time of 24:05?,0
"Who directed the episode ""the departed""?",0
Who directed episode number 23?,0
What number was the game against Kansas State?,0
"On broadcast date is 25april1970, how many people tuned in?",0
"On broadcast date is 28march1970, how many people tuned in?",0
What is the archive of the show that aired on 18april1970?,0
What opponent was playing against the Golden Bears when they scored 3 points?,0
What is the Medal of Honor with Army Distinguished Service Medal?,0
WHat is the Homeland security distinguished service medal when the medal of honor is Coast guard Medal?,0
What is the distinguished service cross when the navy cross is Coast Guard commendation medal?,0
What is the air force cross when you recieve the Aerial achievement medal?,0
What is the coast guard cross when you recieve the navy distinguished service medal?,0
What percentage did Walker win in Calumet county?,0
What did they do in the game when their record was 3-2-1?,0
What did they do against Villanova?,0
What did they do against Memphis?,0
When did the episode seen by  is 2.267 million people get aired?,0
Name the episode for run time in 24:44,0
"Who did the team play against when a record of 3-1, #16 was achieved?",0
What was the result of the game against Mississippi State?,0
Who did the team play against in the game that resulted with a loss?,0
What game did the Bruins play Santa Clara?,0
Santa Clara was played how many times?,0
"The game the Bruins scored 26 ,what was the result?",0
What was the record for game 9?,0
Who were the opponents of the Wildcats in game 4?,0
Who were the the opponents of the Wildcats for game 8 of the season?,0
What was the record of the Wildcats after playing Florida?,0
Name the opponents for game 5,0
Name the result for 19 black knights points,0
Name the opponent for black knights points 27,0
Name the date for game 8,0
Name the game for record 1-0,0
Which opponent has a record of 6-2?,0
What is the run time for the episode with 7.9 million viewers?,0
What episode had a run time of 23:38?,0
How many million viewers watched the episode with a run time of 25:22?,0
Name the date for result loss for duke,0
Name the opponents for record of 2-1,0
Name the record for black knights points 54,0
Name the opponents stanford,0
Name the result for ursinus college,0
Name the date for 6-2 record,0
How man innings were there during the period with a career average of 41.43?,0
During what period did Ricky Ponting play?,0
During what period was the career average 44.10?,0
What period was there a career average of 48.15?,0
"when the value (int $1000) is 409566, what is the commodity?",0
"When the value world rank is 7, what is the rank?",0
"When the production (mt) is 446424, what is the value world rank ?",0
"where value world rank is 12, what is the quantity world rank?",0
What is the rank of Tim Paine?,0
Name the 1st place for limoges csp,0
What player has 477 runs?,0
In what season was the pct % 0.552? ,0
